# gpu     sm    mem    enc    dec    jpg    ofa 
# Idx      %      %      %      %      %      % 
    0     51     33      0      4      0      0 
    0     53     35      0      6      0      0 
    0     46     31      0      5      0      0 
    0     53     36      0      6      0      0 
    0     53     35      0      6      0      0 
    0     54     36      0      4      0      0 
    0     53     36      0      6      0      0 
    0     51     35      0      6      0      0 
    0     51     34      0      6      0      0 
    0     30     21      0      0      0      0 
    0     33     21      0      1      0      0 
    0     35     20      0      1      0      0 
    0     36     20      0      2      0      0 
    0     35     18      0      0      0      0 
    0     37     18      0      2      0      0 
    0     42     19      0      1      0      0 
    0     37     18      0      3      0      0 
    0     43     21      0      0      0      0 
    0     38     21      0      2      0      0 
    0     19     12      0      0      0      0 
    0     33     12      0      0      0      0 
    0      8      5      0      0      0      0 
    0     25      6      0      0      0      0 
    0     51     13      0      0      0      0 
    0     20      5      0      0      0      0 
    0     21      4      0      0      0      0 
    0     33      8      0      0      0      0 
    0     14      5      0      0      0      0 
    0     22     37      0      0      0      0 
    0     15     39      0      0      0      0 
